X,Y,FID,GIS_DB_ID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WKDY_ONS,WKDY_OFFS
-8367243.92078799,4862979.26669667,1,325478W,Bus,UTA,3,Westbound,25478,CECIL B MOORE AV & 18TH ST,39.979607,-75.164231,Fall 2016,27,34
-8367416.6886377,4863005.99712969,2,325479W,Bus,UTA,3,Westbound,25479,CECIL B MOORE AV & 19TH ST,39.979791,-75.165783,Fall 2016,62,111
-8367591.23759926,4863031.27488801,3,354W,Bus,UTA,3,Westbound,54,CECIL B MOORE AV & 20TH ST,39.979965,-75.167351,Fall 2016,21,62
-8367792.83719709,4863064.25229016,4,325480W,Bus,UTA,3,Westbound,25480,CECIL B MOORE AV & 21ST ST,39.980192,-75.169162,Fall 2016,17,49
-8367973.84268912,4863091.85460527,5,325481W,Bus,UTA,3,Westbound,25481,CECIL B MOORE AV & 22ND ST,39.980382,-75.170788,Fall 2016,55,153
-8368129.80129572,4863115.67982317,6,325482W,Bus,UTA,3,Westbound,25482,CECIL B MOORE AV & RIDGE AV,39.980546,-75.172189,Fall 2016,82,332
-8368330.7329766,4863148.80278211,7,325483W,Bus,UTA,3,Westbound,25483,CECIL B MOORE AV & 24TH ST,39.980774,-75.173994,Fall 2016,19,74
-8368512.07242711,4863179.45614521,8,325484W,Bus,UTA,3,Westbound,25484,CECIL B MOORE AV & 25TH ST,39.980985,-75.175623,Fall 2016,18,136
-8368689.07041746,4863209.23793935,9,325485W,Bus,UTA,3,Westbound,25485,CECIL B MOORE AV & 26TH ST,39.98119,-75.177213,Fall 2016,27,263
-8368868.07215866,4863240.32732222,10,325486W,Bus,UTA,3,Westbound,25486,CECIL B MOORE AV & 27TH ST,39.981404,-75.178821,Fall 2016,15,119
-8369028.14958642,4863266.76790202,11,325487W,Bus,UTA,3,Westbound,25487,CECIL B MOORE AV & 28TH ST,39.981586,-75.180259,Fall 2016,14,200
-8369199.02500479,4863295.96884398,12,325488W,Bus,UTA,3,Westbound,25488,CECIL B MOORE AV & 29TH ST,39.981787,-75.181794,Fall 2016,31,339
-8369383.03612307,4863327.20377748,13,325489W,Bus,UTA,3,Westbound,25489,CECIL B MOORE AV & 30TH ST,39.982002,-75.183447,Fall 2016,3,74
-8369565.2661295,4863358.14825037,14,325490W,Bus,UTA,3,Westbound,25490,CECIL B MOORE AV & 31ST ST,39.982215,-75.185084,Fall 2016,6,97
-8369746.27162153,4863386.76834169,15,325491W,Bus,UTA,3,Westbound,25491,CECIL B MOORE AV & 32ND ST,39.982412,-75.18671,Fall 2016,9,82
-8369910.46787045,4863407.54338352,16,355W,Bus,UTA,3,Westbound,55,33RD ST & CECIL B MOORE,39.982555,-75.188185,Fall 2016,0,196
-8369875.51355034,4863404.78306077,17,355E,Bus,UTA,3,Eastbound,55,33RD ST & CECIL B MOORE AV L,39.982536,-75.187871,Fall 2016,185,0
